id	name	type	typecode	address	location	pname	cityname	adname	projectid
B0FFHH3DJW	武商广场购物中心(北门)	通行设施;建筑物门;建筑物正门	991001	解放大道688号武商广场购物中心F1层	114.269766,30.580751	湖北省	武汉市	江汉区	2585
B0FFIHLD1E	人信·武胜里购物中心(东门)	通行设施;建筑物门;建筑物正门	991001	武胜西街32号附近	114.268034,30.572608	湖北省	武汉市	硚口区	2585
B0FFHCZISD	武汉国际广场C座(西1门)	通行设施;建筑物门;建筑物正门	991001	解放大道690号武汉国际广场C座F1层	114.271387,30.578774	湖北省	武汉市	江汉区	2585
B0FFG4FWLP	世贸广场(2号门)	通行设施;建筑物门;建筑物正门	991001	解放大道686号世贸广场F1层	114.269323,30.580320	湖北省	武汉市	江汉区	2585
B0FFHCZIRY	武汉国际广场AB座(东2门)	通行设施;建筑物门;建筑物正门	991001	解放大道690号武汉国际广场AB座F1层	114.271389,30.580625	湖北省	武汉市	江汉区	2585
B0FFHSFU0X	武汉协和医院临床医学工程中心(东南门)	通行设施;建筑物门;建筑物正门	991001	解放大道1277附28号附近	114.273547,30.584598	湖北省	武汉市	江汉区	2585
B0FFG7RPGA	SOGO写字楼B座(南门)	通行设施;建筑物门;建筑物正门	991001	武展东路与解放大道交叉口东南150米	114.274905,30.581310	湖北省	武汉市	江汉区	2585
B0FFG7ROFE	湖北地质博物馆(西南门)	通行设施;建筑物门;建筑物正门	991001	利济北路250附4号	114.267388,30.579235	湖北省	武汉市	江汉区	2585
B0FFG73GN6	SOGO写字楼A座(西门)	通行设施;建筑物门;建筑物正门	991001	武展东路与解放大道交叉口东南50米	114.274203,30.581775	湖北省	武汉市	江汉区	2585
B0FFG1WU6D	武汉欣悦医院(东南门)	通行设施;建筑物门;建筑物正门	991001	汉口京汉大道499号	114.269797,30.577435	湖北省	武汉市	江汉区	2585
B0FFGCE9LX	华中科技大学协和医院(7号门)	通行设施;建筑物门;建筑物正门	991001	解放大道1277号	114.274778,30.582742	湖北省	武汉市	江汉区	2585
B0FFHRV2U4	华中科技大学同济医学院协和医院PET中心(西门)	通行设施;建筑物门;建筑物正门	991001	航空路13号华中科技大学同济医学院华中科技大学同济医学院附属协和医院PET中心附近	114.262842,30.581253	湖北省	武汉市	硚口区	2585
