id	name	type	typecode	address	location	pname	cityname	adname	projectid
B0FFHGISFW	星河ico(东南门)	通行设施;建筑物门;建筑物正门	991001	东环二路东100米	114.037809,22.655433	广东省	深圳市	龙华区	29578
B0FFHGIQ2O	福轩大厦(东南门)	通行设施;建筑物门;建筑物正门	991001	和平路与新业一路交叉口西南100米	114.039215,22.670247	广东省	深圳市	龙华区	29578
B0FFHGHOPX	同盛百货(正门)	通行设施;建筑物门;建筑物正门	991001	华兴路与华繁路交叉口西150米	113.989503,22.678405	广东省	深圳市	龙华区	29578
B0FFHEXJU1	深爱(南门)	通行设施;建筑物门;建筑物正门	991001	八卦三路与八卦十街交叉口西北50米	114.102927,22.562184	广东省	深圳市	福田区	29578
B0FFHEXIWF	集浩大厦(东南门)	通行设施;建筑物门;建筑物正门	991001	深南东路1086号	114.135379,22.546475	广东省	深圳市	罗湖区	29578
B0FFHGJJGQ	东方明珠科技大厦(东南门)	通行设施;建筑物门;建筑物正门	991001	新洲南路2017	114.045300,22.516778	广东省	深圳市	福田区	29578
B0FFHGIWD8	南海中心B座(西北门)	通行设施;建筑物门;建筑物正门	991001	东门中路与晒布路交叉口西100米	114.121681,22.548561	广东省	深圳市	罗湖区	29578
B0FFHEXLQA	深圳市人民医院9号楼B区(南门)	通行设施;建筑物门;建筑物正门	991001	田贝一路与贝丽南路交叉口南200米	114.127278,22.557592	广东省	深圳市	罗湖区	29578
B0FFHEXL6T	明苑大厦(西北门)	通行设施;建筑物门;建筑物正门	991001	沿河南路与爱国四街交叉口西南50米	113.844496,22.766528	广东省	深圳市	宝安区	29578
B0FFHEXJWD	兴华楼(西北门)	通行设施;建筑物门;建筑物正门	991001	兴华路与工业二路交叉口西南50米	113.831702,22.641154	广东省	深圳市	宝安区	29578
B0FFHGKOUV	中投国际中心B1座(西南门)	通行设施;建筑物门;建筑物正门	991001	香梅路与香蜜南四街交叉口西北150米	114.038992,22.543919	广东省	深圳市	福田区	29578
B0FFHGKGQM	奥特莱斯(北门)	通行设施;建筑物门;建筑物正门	991001	怀渡街2-111奥特莱斯F1层	114.309148,22.599601	广东省	深圳市	盐田区	29578
B0FFHEYYJH	四达大厦A座(西南门)	通行设施;建筑物门;建筑物正门	991001	粤海路2号	113.925031,22.509598	广东省	深圳市	南山区	29578
B0FFHEYPG4	深圳友谊医院住院部(北门)	通行设施;建筑物门;建筑物正门	991001	八卦三路45号附近	114.102797,22.561573	广东省	深圳市	福田区	29578
B0FFHGL5P0	东港中心(东南门)	通行设施;建筑物门;建筑物正门	991001	解放路1001号	114.121507,22.545130	广东省	深圳市	罗湖区	29578
B0FFHGKPGD	中投国际中心A座(东南门)	通行设施;建筑物门;建筑物正门	991001	香梅路1061号附近	114.039071,22.544406	广东省	深圳市	福田区	29578
B0FFHEZ65W	创新大厦(东北门)	通行设施;建筑物门;建筑物正门	991001	工业路与油联路交叉口东南50米	114.041050,22.639110	广东省	深圳市	龙华区	29578
B0FFHEZ2CW	金荣光大厦星级写字楼(南门)	通行设施;建筑物门;建筑物正门	991001	松裕路142-3号附近	113.840901,22.755246	广东省	深圳市	宝安区	29578
